"Data Source","World Development Indicators",

"Last Updated Date","2017-04-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Bangladesh","BGD","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.88565509","","","","","64.81821588","","","","","65.42196522","","","","","80.23563347","","","","","82.23194526","82.69560248","82.80494953","88.33041827","87.03455404","89.3929096","",
"Bulgaria","BGR","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.16007978","","","","","34.39503925","","","","","29.14142037","","","","","23.1008418","","","","","26.83183332","26.96002866","25.68139714","26.71231101","27.53486186","28.12871472","",
"Bahrain","BHR","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.61905559","","","","","61.53230764","","","","","62.46652544","","","","","52.606263","","","","","66.4277585","63.51717683","67.28495944","66.45263989","60.33412401","55.45435188","",
"Bahamas, The","BHS","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.39942934","","","","","18.54483632","","","","","18.68255765","","","","","17.47408637","","","","","12.17654133","12.68075711","13.32897066","13.93955059","13.72387382","13.71948341","",
"Bosnia and Herzegovina","BIH","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.70438919","","","","","37.68888575","","","","","37.95347469","","","","","35.38662978","","","","","37.97995323","37.4453139","37.98313099","41.42943982","44.09811958","47.40090583","",
"Belarus","BLR","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.47840769","","","","","23.77368042","","","","","20.30815667","","","","","18.82530767","","","","","20.25431623","19.71399217","18.53081728","19.4702875","20.03426999","20.48379252","",
"Belize","BLZ","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.46923137","","","","","28.88043697","","","","","29.43093726","","","","","25.78443453","","","","","20.97331669","21.69663025","25.35152963","24.3096465","25.45071189","27.04048536","",
"Bermuda","BMU","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.89996111","","","","","11.31984402","","","","","11.18737813","","","","","11.44620163","","","","","9.312616101","9.356703975","9.362252941","9.068642195","8.865758137","8.689651024","",
"Bolivia","BOL","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.86921095","","","","","28.78971469","","","","","30.21271633","","","","","39.77895753","","","","","28.5881597","30.24425324","26.95194066","27.79062261","28.35787923","27.97140377","",
"Brazil","BRA","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.78134312","","","","","15.40530411","","","","","16.16227859","","","","","13.77506387","","","","","10.96493063","11.47776779","11.21118317","11.4422307","11.31754584","11.36829449","",
"Barbados","BRB","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.54212207","","","","","21.06005667","","","","","20.35814543","","","","","17.33199887","","","","","14.79991173","14.88835039","14.84804989","15.25636697","15.20732479","15.38938638","",
"Brunei Darussalam","BRN","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.917200594","","","","","5.898266787","","","","","5.70835931","","","","","7.37241961","","","","","6.364018923","6.234890364","6.252435079","6.170406831","5.690909112","5.147459106","",
"Bhutan","BTN","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.42217398","","","","","40.74391767","","","","","41.0065705","","","","","50.72600627","","","","","50.00033869","48.63370044","49.86750313","54.37093357","54.13286886","55.72363212","",
"Botswana","BWA","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.77544316","","","","","21.41166877","","","","","22.36437117","","","","","21.71438469","","","","","19.0399558","19.84321449","19.14675355","18.60238706","18.00413861","17.5393912","",
"Central African Republic","CAF","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.70182564","","","","","50.47240118","","","","","52.25120777","","","","","51.47925568","","","","","46.16305324","49.96232939","52.43312592","49.33394234","47.78222565","46.46839936","",
"Canada","CAN","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.974898415","","","","","7.78182781","","","","","7.824123321","","","","","8.114165","","","","","7.301525158","7.370857641","7.340954607","7.315529036","7.244536517","7.178847511","",
"Central Europe and the Baltics","CEB","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.3374479402251","","","","","28.2582958408042","","","","","23.3571153327419","","","","","21.1949048003471","","","","","23.1505740336662","22.7026689503315","21.1969760264046","21.6967448811122","22.2069978007201","22.4486853273073","",
"Switzerland","CHE","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.28036811","","","","","12.11418991","","","","","11.27034445","","","","","10.9720765","","","","","11.05498294","11.14726196","11.23406913","12.09228379","12.37209228","12.89019363","",
"Channel Islands","CHI","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.64413914","","","","","21.27936158","","","","","21.94511284","","","","","22.86273012","","","","","21.31061466","21.37433716","21.53297271","21.16037872","21.08723658","20.94195715","",
"China","CHN","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.54116342","","","","","49.63919986","","","","","51.63351915","","","","","56.89743587","","","","","58.22193143","57.16540288","57.38830359","56.86695663","57.98601356","58.37659937","",
"Cote d'Ivoire","CIV","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.6008614","","","","","32.98860507","","","","","32.30402622","","","","","27.65451027","","","","","28.58998934","31.80904039","33.17098786","28.7908249","26.28596513","23.53443788","",
"Cameroon","CMR","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105.6728257","","","","","103.0960107","","","","","99.60771181","","","","","81.88294993","","","","","72.27810525","75.59233995","75.08883329","73.78419451","69.56991811","66.42837013","",
"Congo, Dem. Rep.","COD","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.94273958","","","","","48.4056537","","","","","51.07883229","","","","","47.07936144","","","","","42.00486787","44.38807236","46.73556361","46.76494515","46.67313051","46.32237903","",
"Congo, Rep.","COG","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.03687499","","","","","52.44680493","","","","","61.63371714","","","","","56.74243868","","","","","49.36093279","49.46126823","51.86184537","51.00605842","52.04968847","53.0089847","",
"Colombia","COL","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.25381982","","","","","20.42419473","","","","","20.42475508","","","","","21.5222926","","","","","16.69620634","17.70750897","17.29658729","18.35243389","17.67549693","17.99813938","",
"Comoros","COM","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.93445637","","","","","21.04839074","","","","","21.05216741","","","","","20.41033551","","","","","16.9011094","17.16901189","17.14686096","17.4211319","17.13627528","17.07934151","",
"Cabo Verde","CPV","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.63611811","","","","","53.78838901","","","","","48.77078264","","","","","33.72043724","","","","","34.59727346","38.81934583","45.23148614","43.54296258","41.53790704","39.55602953","",
"Costa Rica","CRI","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.32911951","","","","","21.08690083","","","","","22.0065383","","","","","20.68529224","","","","","14.47932299","15.28763779","16.48043342","18.56451064","18.4170098","20.11774831","",
"Caribbean small states","CSS","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.7310650242678","","","","","21.6206038749401","","","","","21.7069319414852","","","","","18.3686490898234","","","","","13.9873571465159","14.7240412074811","15.7193283301526","16.6787322458386","16.5360019119517","16.6522167839481","",
"Cuba","CUB","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.93026412","","","","","21.83979031","","","","","21.75224079","","","","","20.74618897","","","","","15.45960037","16.38933326","17.87777774","18.27609514","18.18831353","17.98569778","",
"Curacao","CUW","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.68666596","","","","","15.05668015","","","","","15.19674804","","","","","14.5290099","","","","","15.41684785","15.21667356","15.10798901","16.29659663","17.20774014","18.28597332","",
"Czech Republic","CZE","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.11061669","","","","","26.60992605","","","","","20.98845891","","","","","19.28864999","","","","","20.2037086","19.78423967","18.72233875","19.78966278","20.60073498","21.40898739","",
"Germany","DEU","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.44822457","","","","","15.19417914","","","","","14.08379102","","","","","13.39368326","","","","","13.70378666","13.67429891","13.29681529","13.6595252","13.86261171","14.0153719","",
"Djibouti","DJI","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.59455327","","","","","46.68573635","","","","","50.85019937","","","","","43.11745862","","","","","45.37519972","48.6359452","52.43290748","50.3417756","51.08017071","51.50224365","",
"Dominica","DMA","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.03029249","","","","","17.87442888","","","","","17.95247109","","","","","16.70532169","","","","","14.1356331","14.42392113","14.00198025","14.24819121","13.71658417","13.55936883","",
"Denmark","DNK","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.86144824","","","","","11.6860659","","","","","10.94668302","","","","","10.39023314","","","","","10.42452026","10.24883547","10.05436809","10.34987451","10.65521002","11.02259277","",
"Dominican Republic","DOM","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.77007621","","","","","20.93668678","","","","","29.80004938","","","","","21.34326702","","","","","21.24604728","16.96673719","23.06495179","24.07007798","17.77525464","20.41796867","",
"Algeria","DZA","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.0401609","","","","","33.49823718","","","","","32.34921606","","","","","28.49001271","","","","","26.74371557","27.50507143","28.26794675","31.10756086","33.09525","35.56453306","",
"East Asia & Pacific (excluding high income)","EAP","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.1196315413962","","","","","41.7622578160782","","","","","43.0156506961238","","","","","46.9196629313582","","","","","46.6803723880824","45.9757903650002","46.1966960960144","46.0708220790965","46.7782529458825","47.1299184715499","",
"Early-demographic dividend","EAR","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.4185371668688","","","","","48.5201434112745","","","","","49.520251937602","","","","","51.3096939168498","","","","","51.0183366830636","50.974824188012","52.152116281242","53.980547547253","55.0177684102322","56.4810830008883","",
"East Asia & Pacific","EAS","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.1380895271128","","","","","38.7933103208491","","","","","39.9859627091893","","","","","43.6022104049803","","","","","43.3338246633296","42.6548550373366","43.157639793244","42.863848135996","43.8193263956248","44.201396376195","",
